"","scientific.name","common.name","iconic.taxon.name","observed.on","place.guess","latitude","longitude","positional.accuracy","user.id","captive.cultivated","url","image.url"
"1","Junco hyemalis","dark-eyed junco","Aves","2022-08-28","Southwest Harbor, ME, USA",44.2451472222,-68.3087388889,NA,272228,"false","https://www.inaturalist.org/observations/132853160","https://inaturalist-open-data.s3.amazonaws.com/photos/226199583/medium.jpg"
"2","Carcinus maenas","european green crab","Animalia","2022-08-28","Nicatous Lake, Acadia National Park, Hancock County, US-ME, US",44.221763,-68.336826,NA,3665545,"false","https://www.inaturalist.org/observations/132727737","https://static.inaturalist.org/photos/226006533/medium.jpeg"
"3","Somateria mollissima","common eider","Aves","2022-08-26","Acadia National Park, Southwest Harbor, ME, US",44.2428302371,-68.2994934561,54,4016353,"false","https://www.inaturalist.org/observations/132569705","https://inaturalist-open-data.s3.amazonaws.com/photos/225751376/medium.jpg"
"4","Somateria mollissima","common eider","Aves","2022-08-24","Acadia National Park, Bass Harbor, ME, US",44.2426008514,-68.2995158187,143,4016353,"false","https://www.inaturalist.org/observations/132569675","https://inaturalist-open-data.s3.amazonaws.com/photos/225751291/medium.jpg"
"5","Melanoplus bivittatus","two-striped grasshopper","Insecta","2022-08-27","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.37777051,-68.24928048,3,3665545,"false","https://www.inaturalist.org/observations/132557503","https://static.inaturalist.org/photos/225727993/medium.jpeg"
"6","Metridium senile","plumose anemone","Animalia","2022-08-27","Southwest Harbor",44.2218399048,-68.3366928101,133,665563,"false","https://www.inaturalist.org/observations/132553775","https://inaturalist-open-data.s3.amazonaws.com/photos/225720771/medium.jpeg"
"7","Cichorium intybus","chicory","Plantae","2022-08-26","Farview Dr, Birch Harbor, ME, US",44.3805366667,-68.0658861667,4,4014426,"false","https://www.inaturalist.org/observations/132485736","https://inaturalist-open-data.s3.amazonaws.com/photos/225609981/medium.jpg"
"8","Tringa melanoleuca","greater yellowlegs","Aves","2022-08-25","Frazer Point, Winter Harbor, ME 04693, USA",44.3756358,-68.0747287,1550,256926,"false","https://www.inaturalist.org/observations/132485048","https://inaturalist-open-data.s3.amazonaws.com/photos/225608294/medium.jpg"
"9","Cercyonis pegala","common wood-nymph","Insecta","2022-08-25","9 Atterbury Cir, Winter Harbor, ME 04693, USA",44.336171,-68.0595186,182,256926,"false","https://www.inaturalist.org/observations/132485046","https://inaturalist-open-data.s3.amazonaws.com/photos/225608240/medium.jpg"
"10","Larus marinus","great black-backed gull","Aves","2022-08-25","Schoodic Point, Winter Harbor, ME 04693, USA",44.3323493,-68.0610361,1551,256926,"false","https://www.inaturalist.org/observations/132485045","https://inaturalist-open-data.s3.amazonaws.com/photos/225608201/medium.jpg"
"11","Lycaena phlaeas","small copper","Insecta","2022-08-22","9 Atterbury Cir, Winter Harbor, ME 04693, USA",44.336171,-68.0595186,182,256926,"false","https://www.inaturalist.org/observations/132485040","https://inaturalist-open-data.s3.amazonaws.com/photos/225608154/medium.jpg"
"12","Vanessa virginiensis","american lady","Insecta","2022-08-22","9 Atterbury Cir, Winter Harbor, ME 04693, USA",44.336171,-68.0595186,182,256926,"false","https://www.inaturalist.org/observations/132485039","https://inaturalist-open-data.s3.amazonaws.com/photos/225608102/medium.jpg"
