"","user.id","user.login","count"
"1",1010930,"nkiehl",7
"2",1770255,"lucianvazquez",7
"3",76300,"hannahwebber",3
"4",1842670,"napoleonmj",2
"5",3600670,"midnightangelphoto",2
"6",255732,"nfisichelli",1
"7",292915,"abbie141",1
"8",445906,"aspring",1
"9",1248615,"leroytabb",1
"10",1350093,"jennifer792",1
"11",1423154,"riski",1
"12",1632100,"benlapointe",1
"13",1875150,"rickowen",1
"14",2361934,"dayanakrawchuk",1
"15",2749485,"donbull",1
"16",2895993,"danielcarr",1
"17",4893440,"greg557",1
"18",5324414,"oliverdabomb",1
"19",5454373,"jeffrey394",1
"20",5766555,"marahall001",1
"21",5914030,"katherine_davis",1
"22",5939860,"c_uhlenbrauck",1
