"","scientific.name","common.name","count"
"1","Epifagus virginiana","beechdrops",2
"2","Fomitopsis betulina","birch polypore",2
"3","Ilex mucronata","mountain holly",2
"4","Limax maximus","leopard slug",2
"5","Rosa rugosa","rugosa rose",2
"6","Acer pensylvanicum","striped maple",1
"7","Agalinis purpurea parviflora","small-flower false foxglove",1
"8","Agarum clathratum","sieve kelp",1
"9","Apis mellifera","western honey bee",1
"10","Artomyces pyxidatus","crown-tipped coral fungus",1
"11","Asclepias syriaca","common milkweed",1
"12","Bolitotherus cornutus","forked fungus beetle",1
"13","Calluna vulgaris","common heather",1
"14","Climacodon septentrionalis","northern tooth",1
"15","Cornus canadensis","canadian bunchberry",1
"16","Cypripedium acaule","pink lady's slipper",1
"17","Doellingeria umbellata","flat-top white aster",1
"18","Dolichovespula arenaria","common aerial yellowjacket",1
"19","Dryopteris marginalis","marginal wood fern",1
"20","Geranium robertianum","herb robert",1
"21","Hericium coralloides","coral tooth fungus",1
"22","Lampropeltis triangulum","eastern milksnake",1
"23","Larus argentatus","herring gull",1
"24","Larus marinus","great black-backed gull",1
"25","Lithobates palustris","pickerel frog",1
"26","Meconema thalassinum","oak bush-cricket",1
"27","Myrica gale","bog myrtle",1
"28","Oclemena acuminata","whorled wood aster",1
"29","Solanum dulcamara","bittersweet nightshade",1
"30","Storeria occipitomaculata","red-bellied snake",1
"31","Thamnophis sirtalis","common garter snake",1
"32","Viburnum cassinoides","northern wild raisin",1
"33","Viburnum lantanoides","hobblebush",1
