scientific.name,common.name,iconic.taxon.name,groups,observed.on,place.guess,latitude,longitude,positional.accuracy,user.login,user.id,captive.cultivated,url,image.url
Lithobates catesbeianus,american bullfrog,Amphibia,Amphibians,2022-09-27,"Acadia National Park, Bar Harbor, ME, US",44.3687783333,-68.2115633333,17,nfisichelli,255732,false,https://www.inaturalist.org/observations/136819520,https://inaturalist-open-data.s3.amazonaws.com/photos/233567955/medium.jpg
Hyla versicolor,gray treefrog,Amphibia,Amphibians,2022-09-27,"Parque Nacional Acadia, Birch Harbor, ME, US",44.3371648286,-68.0599711808,65,mapmaine,3667475,false,https://www.inaturalist.org/observations/136715540,https://static.inaturalist.org/photos/233374498/medium.jpg
Larus argentatus,herring gull,Aves,Birds,2022-10-01,Schoodic Point,44.3323484755,-68.0610363185,1551,jaelgb,6082297,false,https://www.inaturalist.org/observations/137449230,https://inaturalist-open-data.s3.amazonaws.com/photos/234751344/medium.jpeg
Troglodytes hiemalis,winter wren,Aves,Birds,2022-10-03,"Mount Desert Island, Mount Desert, ME, US",44.3152666558,-68.3390374762,22,asacerdotevelat,4333170,false,https://www.inaturalist.org/observations/137408868,
Larus argentatus,herring gull,Aves,Birds,2022-09-29,"Nicatous Lake, Acadia National Park, Hancock, Maine, United States",44.2293286111,-68.3136002778,NA,schizoform,1815672,false,https://www.inaturalist.org/observations/137075347,https://inaturalist-open-data.s3.amazonaws.com/photos/234041000/medium.jpeg
Larus argentatus,herring gull,Aves,Birds,2022-09-29,"Southwest Harbor, ME, USA",44.2417877778,-68.2998547222,NA,schizoform,1815672,false,https://www.inaturalist.org/observations/137075346,https://inaturalist-open-data.s3.amazonaws.com/photos/234040961/medium.jpeg
Phalacrocorax auritus,double-crested cormorant,Aves,Birds,2022-09-29,"Southwest Harbor, ME, USA",44.2293836111,-68.3135738889,NA,schizoform,1815672,false,https://www.inaturalist.org/observations/137073853,https://inaturalist-open-data.s3.amazonaws.com/photos/234039005/medium.jpeg
Larus argentatus,herring gull,Aves,Birds,2022-09-29,"Southwest Harbor, ME, USA",44.2282994444,-68.3121638889,NA,schizoform,1815672,false,https://www.inaturalist.org/observations/137073850,https://inaturalist-open-data.s3.amazonaws.com/photos/234039025/medium.jpeg
Phalacrocorax auritus,double-crested cormorant,Aves,Birds,2022-09-29,"Southwest Harbor, ME, USA",44.2293283333,-68.3135991667,NA,schizoform,1815672,false,https://www.inaturalist.org/observations/137073848,https://inaturalist-open-data.s3.amazonaws.com/photos/234038981/medium.jpeg
Catharus guttatus,hermit thrush,Aves,Birds,2022-09-29,"Southwest Harbor, ME, USA",44.2283391667,-68.3110697222,NA,schizoform,1815672,false,https://www.inaturalist.org/observations/137063193,https://inaturalist-open-data.s3.amazonaws.com/photos/234019042/medium.jpeg
Zonotrichia albicollis,white-throated sparrow,Aves,Birds,2022-09-29,"Southwest Harbor, ME, USA",44.2337663889,-68.3201402778,NA,schizoform,1815672,false,https://www.inaturalist.org/observations/137058136,https://inaturalist-open-data.s3.amazonaws.com/photos/234009270/medium.jpeg
Corvus brachyrhynchos,american crow,Aves,Birds,2022-09-29,"Bar Harbor, ME, USA",44.3530708333,-68.2246825,NA,schizoform,1815672,false,https://www.inaturalist.org/observations/137047637,https://inaturalist-open-data.s3.amazonaws.com/photos/233989747/medium.jpeg
