scientific.name,common.name,iconic.taxon.name,groups,observed.on,place.guess,positional.accuracy,user.login,user.id,captive.cultivated,url,image.url,license,source,checklist,count,longitude,latitude
Evodinus monticola,Evodinus monticola,Insecta,Insects,2023-06-11,"12 Schoodic Shores, Winter Harbor, ME 04693, USA",59,kstudey,470381,false,https://www.inaturalist.org/observations/167280295,https://inaturalist-open-data.s3.amazonaws.com/photos/289776512/medium.jpeg,CC-BY-NC,iNaturalist,NA,1,-68.0591453612,44.3373579126
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-16,Acadia NP--Jesup Path,NA,NA,NA,NA,https://ebird.org/checklist/S141764791,NA,NA,eBird,S141764791,1,-68.2112038,44.3672499
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-16,"686 Park Loop Road, Bar Harbor, Maine, US (44.36, -68.199)",NA,NA,NA,NA,https://ebird.org/checklist/S141736586,NA,NA,eBird,S141736586,10,-68.1994538,44.360299500000004
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-16,Acadia NP--Jordan Pond Path,NA,NA,NA,NA,https://ebird.org/checklist/S141733683,NA,NA,eBird,S141733683,1,-68.2499805,44.3242409
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-16,Acadia NP--Sieur de Monts Spring and Wild Gardens,NA,NA,NA,NA,https://ebird.org/checklist/S141708063,NA,NA,eBird,S141708063,1,-68.2079691,44.36181
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-14,Norway Drive & Crooked Rd. Fields,NA,NA,NA,NA,https://ebird.org/checklist/S141572293,NA,NA,eBird,S141572293,1,-68.2950926,44.4160035
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-14,Acadia NP--Visitor Center,NA,NA,NA,NA,https://ebird.org/checklist/S141543633,NA,NA,eBird,S141543633,1,-68.2463949,44.4084752
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-14,Acadia NP--Cannon Brook Trail,NA,NA,NA,NA,https://ebird.org/checklist/S141567353,NA,NA,eBird,S141567353,1,-68.2039511,44.3479516
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-13,Acadia NP--Seawall Campground,NA,NA,NA,NA,https://ebird.org/checklist/S141666195,NA,NA,eBird,S141666195,1,-68.3073664,44.2433544
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-13,Acadia NP--Ship Harbor Trail,NA,NA,NA,NA,https://ebird.org/checklist/S141456379,NA,NA,eBird,S141456379,2,-68.3256161,44.2316668
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-13,Acadia NP--Witch Hole Pond Carriage Path Loop,NA,NA,NA,NA,https://ebird.org/checklist/S141468804,NA,NA,eBird,S141468804,3,-68.2464695,44.3990651
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-13,Acadia NP--Alder Trail,NA,NA,NA,NA,https://ebird.org/checklist/S141617165,NA,NA,eBird,S141617165,5,-68.0561185,44.3443026
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-13,Acadia NP--Great Meadow,NA,NA,NA,NA,https://ebird.org/checklist/S141432576,NA,NA,eBird,S141432576,1,-68.2070087,44.3669684
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-12,Acadia NP--Bubble Pond,NA,NA,NA,NA,https://ebird.org/checklist/S141366102,NA,NA,eBird,S141366102,1,-68.2402897,44.3455195
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-12,Acadia NP--Schoodic Point,NA,NA,NA,NA,https://ebird.org/checklist/S141644980,NA,NA,eBird,S141644980,1,-68.0603456,44.3324746
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-12,Acadia NP (Please use more specific location if possible),NA,NA,NA,NA,https://ebird.org/checklist/S141397452,NA,NA,eBird,S141397452,3,-68.2733291,44.3385984
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-12,Acadia NP--Schoodic Peninsula,NA,NA,NA,NA,https://ebird.org/checklist/S141345288,NA,NA,eBird,S141345288,1,-68.0582428,44.3403019
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-12,Acadia NP--Cadillac Mtn.,NA,NA,NA,NA,https://ebird.org/checklist/S141432408,NA,NA,eBird,S141432408,1,-68.2260418,44.3534831
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-12,Acadia NP--Seawall Pond,NA,NA,NA,NA,https://ebird.org/checklist/S141328746,NA,NA,eBird,S141328746,1,-68.299427,44.2426166
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-06-11,"Hemlock trail extension/ Strath Eden Trail to Kebo, Bar Harbor US-ME 44.36855, -68.21064",NA,NA,NA,NA,https://ebird.org/checklist/S141280395,NA,NA,eBird,S141280395,1,-68.210638,44.36855
Fagus grandifolia,american beech,Plantae,Plants,2023-06-14,"Cochrane Point, Acadia National Park, Hancock County, US-ME, US",17,johnreiss,322934,false,https://www.inaturalist.org/observations/167464001,https://inaturalist-open-data.s3.amazonaws.com/photos/290106213/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-68.261405,44.3407383333
Botaurus lentiginosus,american bittern,Aves,Birds,2023-06-14,Acadia NP--Sieur de Monts Spring and Wild Gardens,NA,NA,NA,NA,https://ebird.org/checklist/S141570954,NA,NA,eBird,S141570954,1,-68.2079691,44.36181
Botaurus lentiginosus,american bittern,Aves,Birds,2023-06-13,Acadia NP--Great Meadow,NA,NA,NA,NA,https://ebird.org/checklist/S141431146,NA,NA,eBird,S141431146,1,-68.2070087,44.3669684
Botaurus lentiginosus,american bittern,Aves,Birds,2023-06-11,"Hemlock trail extension/ Strath Eden Trail to Kebo, Bar Harbor US-ME 44.36855, -68.21064",NA,NA,NA,NA,https://ebird.org/checklist/S141280395,NA,NA,eBird,S141280395,1,-68.210638,44.36855
Anas rubripes,american black duck,Aves,Birds,2023-06-16,Acadia NP--Thompson Island,NA,NA,NA,NA,https://ebird.org/checklist/S141777640,NA,NA,eBird,S141777640,1,-68.3651733,44.4267926
Anas rubripes,american black duck,Aves,Birds,2023-06-12,Acadia NP--Seawall Picnic Area,NA,NA,NA,NA,https://ebird.org/checklist/S141387415,NA,NA,eBird,S141387415,3,-68.3025,44.2373
Anas rubripes,american black duck,Aves,Birds,2023-06-12,Acadia NP--Schoodic Peninsula,NA,NA,NA,NA,https://ebird.org/checklist/S141345288,NA,NA,eBird,S141345288,6,-68.0582428,44.3403019
Anas rubripes,american black duck,Aves,Birds,2023-06-12,Acadia NP--Blackwoods Campground Shore,NA,NA,NA,NA,https://ebird.org/checklist/S141322247,NA,NA,eBird,S141322247,3,-68.2013869,44.3065086
