scientific.name,common.name,iconic.taxon.name,groups,observed.on,place.guess,positional.accuracy,user.login,user.id,captive.cultivated,url,image.url,license,source,checklist,count,longitude,latitude
Fomes excavatus,Fomes excavatus,Fungi,Fungi and lichens,2023-05-16,"Mt Desert, ME 04660, USA",NA,plantlovergus,4845465,false,https://www.inaturalist.org/observations/162045189,https://static.inaturalist.org/photos/280150847/medium.jpeg,,iNaturalist,NA,1,-68.192522,44.311768
Empidonax alnorum,alder flycatcher,Aves,Birds,2023-05-17,Acadia NP--Great Meadow,NA,NA,NA,NA,https://ebird.org/checklist/S138380975,NA,NA,eBird,S138380975,1,-68.2070087,44.3669684
Botaurus lentiginosus,american bittern,Aves,Birds,2023-05-17,Acadia NP--Great Meadow,NA,NA,NA,NA,https://ebird.org/checklist/S138091198,NA,NA,eBird,S138091198,1,-68.2070087,44.3669684
Botaurus lentiginosus,american bittern,Aves,Birds,2023-05-15,Pray's Brook flowage,NA,NA,NA,NA,https://ebird.org/checklist/S137836357,NA,NA,eBird,S137836357,1,-68.3569394,44.3834523
Botaurus lentiginosus,american bittern,Aves,Birds,2023-05-15,"Acadia NP, Schooner Head Road marsh outlet",NA,NA,NA,NA,https://ebird.org/checklist/S137858286,NA,NA,eBird,S137858286,1,-68.1794465,44.3426652
Botaurus lentiginosus,american bittern,Aves,Birds,2023-05-15,Acadia NP--Schooner Head Road Marsh,NA,NA,NA,NA,https://ebird.org/checklist/S137824776,NA,NA,eBird,S137824776,1,-68.1854868,44.3489122
Anas rubripes,american black duck,Aves,Birds,2023-05-19,"Pond Island, Schoodic Loop Road, Winter Harbor, Maine, US (44.344, -68.067)",NA,NA,NA,NA,https://ebird.org/checklist/S138447084,NA,NA,eBird,S138447084,1,-68.0669144,44.3438507
Anas rubripes,american black duck,Aves,Birds,2023-05-18,Acadia NP--Otter Pt.,NA,NA,NA,NA,https://ebird.org/checklist/S138298417,NA,NA,eBird,S138298417,2,-68.1901217,44.3072668
Anas rubripes,american black duck,Aves,Birds,2023-05-18,Acadia NP--Schoodic Point,NA,NA,NA,NA,https://ebird.org/checklist/S138285427,NA,NA,eBird,S138285427,4,-68.0603456,44.3324746
Anas rubripes,american black duck,Aves,Birds,2023-05-18,Acadia NP--Schoodic Peninsula,NA,NA,NA,NA,https://ebird.org/checklist/S138216383,NA,NA,eBird,S138216383,3,-68.0582428,44.3403019
Anas rubripes,american black duck,Aves,Birds,2023-05-17,Acadia NP--Frazer Point,NA,NA,NA,NA,https://ebird.org/checklist/S138188115,NA,NA,eBird,S138188115,1,-68.0752723,44.3754377
Anas rubripes,american black duck,Aves,Birds,2023-05-17,Acadia NP--Blueberry Hill,NA,NA,NA,NA,https://ebird.org/checklist/S138188892,NA,NA,eBird,S138188892,1,-68.0454782,44.3386398
Anas rubripes,american black duck,Aves,Birds,2023-05-17,Acadia NP--East Schoodic Drive ,NA,NA,NA,NA,https://ebird.org/checklist/S138091248,NA,NA,eBird,S138091248,1,-68.0390396,44.3625954
Anas rubripes,american black duck,Aves,Birds,2023-05-15,Acadia NP--Thompson Island,NA,NA,NA,NA,https://ebird.org/checklist/S137914311,NA,NA,eBird,S137914311,2,-68.3651733,44.4267926
Corvus brachyrhynchos,american crow,Aves,Birds,2023-05-19,Suminsby Park - Sargent Drive,NA,NA,NA,NA,https://ebird.org/checklist/S138433964,NA,NA,eBird,S138433964,1,-68.304306,44.3361417
Corvus brachyrhynchos,american crow,Aves,Birds,2023-05-19,Acadia NP--Jordan Pond House,NA,NA,NA,NA,https://ebird.org/checklist/S138426905,NA,NA,eBird,S138426905,3,-68.2540226,44.3210234
Corvus brachyrhynchos,american crow,Aves,Birds,2023-05-19,"Pond Island, Schoodic Loop Road, Winter Harbor, Maine, US (44.344, -68.067)",NA,NA,NA,NA,https://ebird.org/checklist/S138447084,NA,NA,eBird,S138447084,1,-68.0669144,44.3438507
