"scientific.name","common.name","observed.on","location","url"
"Epipactis helleborine","broad-leafed helleborine",2023-08-05,"Winter Harbor, ME, USA","https://www.inaturalist.org/observations/176891497"
"Danaus plexippus","monarch",2023-08-05,"Winter Harbor, ME, USA","https://www.inaturalist.org/observations/176844786"
"Securigera varia","purple crownvetch",2023-08-05,"Acadia National Park, Birch Harbor, ME, US","https://www.inaturalist.org/observations/176764266"
"Bombus terricola","yellow-banded bumble bee",2023-08-05,"Acadia National Park, Birch Harbor, ME, US","https://www.inaturalist.org/observations/176846697"
"Bombus terricola","yellow-banded bumble bee",2023-08-05,"Winter Harbor, ME, USA","https://www.inaturalist.org/observations/176845334"
"Bombus terricola","yellow-banded bumble bee",2023-08-05,"Acadia National Park, Birch Harbor, ME, US","https://www.inaturalist.org/observations/176821932"
"Calluna vulgaris","common heather",2023-08-04,"Acadia National Park, Mount Desert, ME, US","https://www.inaturalist.org/observations/176907014"
"Symplocarpus foetidus","eastern skunk cabbage",2023-08-04,"Bar Harbor","https://www.inaturalist.org/observations/176596441"
"Securigera varia","purple crownvetch",2023-08-02,"Bar Harbor","https://www.inaturalist.org/observations/176290686"
"Trichophorum cespitosum","tufted bulrush",2023-08-02,"Acadia National Park, Mount Desert, ME, US","https://www.inaturalist.org/observations/177032702"
"Asclepias syriaca","common milkweed",2023-08-01,"Cochrane Point, Acadia National Park, Hancock County, US-ME, US","https://www.inaturalist.org/observations/176198195"
"Lilium philadelphicum","wood lily",2023-08-01,"Mt Desert, ME 04660, USA","https://www.inaturalist.org/observations/176166631"
