"","scientific.name","common.name","iconic.taxon.name","observed.on","place.guess","latitude","longitude","positional.accuracy","user.id","captive.cultivated","url","image.url"
"1","Argiope aurantia","yellow garden spider","Arachnida","2022-08-21","Mt Desert, ME, USA",44.3198706868,-68.2844433919,11313,2740046,"false","https://www.inaturalist.org/observations/132075044","https://inaturalist-open-data.s3.amazonaws.com/photos/224855706/medium.jpeg"
"2","Ascophyllum nodosum","knotted wrack","Chromista","2022-08-21","Acadia National Park, Bar Harbor, ME, US",44.3320172806,-68.1767913355,247,1037991,"false","https://www.inaturalist.org/observations/131792049","https://inaturalist-open-data.s3.amazonaws.com/photos/224331586/medium.jpg"
"3","Bombus ternarius","tricolored bumble bee","Insecta","2022-08-19","Schoodic Loop Rd, Birch Harbor, ME, US",44.3801283333,-68.066475,4,71842,"false","https://www.inaturalist.org/observations/131492537","https://inaturalist-open-data.s3.amazonaws.com/photos/223779841/medium.jpg"
"4","Camponotus herculeanus","hercules ant","Insecta","2022-08-20","Acadia National Park, Hancock County, US-ME, US",44.3403166667,-68.0655666667,4,255732,"false","https://www.inaturalist.org/observations/131591990","https://inaturalist-open-data.s3.amazonaws.com/photos/223961919/medium.jpg"
"5","Carcinus maenas","european green crab","Animalia","2022-08-20","Acadia National Park, Hancock County, US-ME, US",44.3406633333,-68.0653,7,255732,"false","https://www.inaturalist.org/observations/131592326","https://inaturalist-open-data.s3.amazonaws.com/photos/223962579/medium.jpg"
"6","Catocala antinympha","sweetfern underwing moth","Insecta","2022-08-20","Acadia National Park, Bass Harbor, ME, US",44.2405533333,-68.3039383333,17,1350093,"false","https://www.inaturalist.org/observations/131593757","https://static.inaturalist.org/photos/223965547/medium.jpg"
"7","Cercyonis pegala","common wood-nymph","Insecta","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.3353366667,-68.0591805,5,6045679,"false","https://www.inaturalist.org/observations/131595135","https://inaturalist-open-data.s3.amazonaws.com/photos/223968011/medium.jpg"
"8","Cisseps fulvicollis","yellow-collared scape moth","Insecta","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.33563,-68.0580888333,4,1552603,"false","https://www.inaturalist.org/observations/131596334","https://inaturalist-open-data.s3.amazonaws.com/photos/223970277/medium.jpg"
"9","Coccinella septempunctata","seven-spotted lady beetle","Insecta","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.3362752676,-68.0620390672,4,6045673,"false","https://www.inaturalist.org/observations/131585931","https://static.inaturalist.org/photos/223950767/medium.jpg"
"10","Coenonympha california","common ringlet","Insecta","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.3353716667,-68.0591888333,4,1552603,"false","https://www.inaturalist.org/observations/131596394","https://inaturalist-open-data.s3.amazonaws.com/photos/223970623/medium.jpg"
