"scientific.name","common.name","iconic.taxon.name","observed.on","place.guess","latitude","longitude","positional.accuracy","user.login","user.id","captive.cultivated","url","image.url","pic.name"
"Viburnum lantanoides","hobblebush","Plantae",2022-09-07,"Acadia National Park, Bar Harbor, ME, US",44.3556116667,-68.2689283333,10,"lucianvazquez",1770255,"false","https://www.inaturalist.org/observations/134255844","https://inaturalist-open-data.s3.amazonaws.com/photos/228812451/medium.jpg","inat_obs_1"
"Myrica gale","bog myrtle","Plantae",2022-09-06,"Acadia National Park, Bar Harbor, ME, US",44.336045,-68.191855,NA,"nkiehl",1010930,"false","https://www.inaturalist.org/observations/134607117","https://static.inaturalist.org/photos/229468551/medium.jpg","inat_obs_2"
"Solanum dulcamara","bittersweet nightshade","Plantae",2022-09-11,"Acadia National Park, Bar Harbor, ME, US",44.3159,-68.1907366667,33,"napoleonmj",1842670,"false","https://www.inaturalist.org/observations/134644772","https://static.inaturalist.org/photos/229547951/medium.jpg","inat_obs_3"
"Bolitotherus cornutus","forked fungus beetle","Insecta",2022-09-07,"Acadia National Park, Bar Harbor, ME, US",44.3564383333,-68.267145,5,"lucianvazquez",1770255,"false","https://www.inaturalist.org/observations/134255745","https://inaturalist-open-data.s3.amazonaws.com/photos/228812326/medium.jpg","inat_obs_4"
"Meconema thalassinum","oak bush-cricket","Insecta",2022-09-06,"Acadia National Park, Southwest Harbor, ME, US",44.2435416667,-68.30777,4,"abbie141",292915,"false","https://www.inaturalist.org/observations/134573825","https://static.inaturalist.org/photos/229406793/medium.jpg","inat_obs_5"
"Storeria occipitomaculata","red-bellied snake","Reptilia",2022-09-07,"Acadia National Park, Birch Harbor, ME, US",44.3458622788,-68.0609758851,4,"riski",1423154,"false","https://www.inaturalist.org/observations/134083614","https://inaturalist-open-data.s3.amazonaws.com/photos/228805582/medium.jpg","inat_obs_6"
"Epifagus virginiana","beechdrops","Plantae",2022-09-09,"Bar Harbor, ME 04609, USA",44.3628048,-68.2026154,2299,"danielcarr",2895993,"false","https://www.inaturalist.org/observations/134323618","https://static.inaturalist.org/photos/228938322/medium.jpeg","inat_obs_7"
"Calluna vulgaris","common heather","Plantae",2022-09-10,"Acadia National Park, Mount Desert, ME, US",44.31938,-68.316825,5,"lucianvazquez",1770255,"false","https://www.inaturalist.org/observations/134537032","https://inaturalist-open-data.s3.amazonaws.com/photos/229338344/medium.jpg","inat_obs_8"
"Apis mellifera","western honey bee","Insecta",2022-09-07,"Acadia National Park, Southwest Harbor, ME, US",44.2561887558,-68.3479751808,346,"marahall001",5766555,"false","https://www.inaturalist.org/observations/134084169","https://static.inaturalist.org/photos/228491140/medium.jpg","inat_obs_9"
"Limax maximus","leopard slug","Mollusca",2022-09-06,"Mount Desert",44.3065032959,-68.2047653198,5005,"c_uhlenbrauck",5939860,"false","https://www.inaturalist.org/observations/133983036","https://inaturalist-open-data.s3.amazonaws.com/photos/228302681/medium.jpeg","inat_obs_10"
