"","user.login","user.id","count"
"1","wanderingeden",4465482,23
"2","aspring",445906,4
"3","csimon",1138428,4
"4","oliverdabomb",5324414,4
"5","gecole",2621227,3
"6","lucianvazquez",1770255,3
"7","hannahwebber",76300,2
"8","jennifer792",1350093,2
"9","bhodder",1706413,1
"10","c_uhlenbrauck",5939860,1
"11","chathib",3174924,1
"12","dayanakrawchuk",2361934,1
"13","inaturalistnhuntorg",3647355,1
"14","jhucko",4369903,1
"15","leda_beth",921017,1
"16","leroytabb",1248615,1
"17","marahall001",5766555,1
"18","nfisichelli",255732,1
"19","riski",1423154,1
"20","sophiec3",2692637,1
"21","sp1noze",1050230,1
